career_name,career_occ_code,career_2012_emp,career_2022_emp,career_num_emp_change,career_percent_emp_change,career_percent_self_emp,career_job_openings,career_med_ann_wage,career_edu,career_work_exp,career_job_training
Engineers,17-2000,1589.6,1726.1,136.5,8.6,1.9,544.3,86200,,,
"Special education teachers, secondary school",25-2054,131.3,137.4,6.1,4.6,0.3,28.5,56830,Bachelor's degree,None,Internship/residency
"Tank car, truck, and ship loaders",53-7121,12.5,12.8,0.3,2.7,,3.9,44100,Less than high school,None,Short-term on-the-job training
Self-enrichment education teachers,25-3021,316.2,360.1,43.9,13.9,20.4,97.9,35320,High school diploma or equivalent,Less than 5 years,None
Agricultural workers,45-2000,815.5,789.3,-26.2,-3.2,0.9,245.5,19020,,,
"Textile cutting machine setters, operators, and tenders",51-6062,15.5,11.3,-4.2,-27.1,,2.5,24050,High school diploma or equivalent,None,Moderate-term on-the-job training
Industrial production managers,11-3051,172.7,168.6,-4.1,-2.4,6.1,31.4,89190,Bachelor's degree,5 years or more,None
"Engineering technicians, except drafters",17-3020,449.1,454.4,5.3,1.2,0.2,100.5,53920,,,
Interior designers,27-1025,54.9,61.9,7,12.8,25.2,21.5,47600,Bachelor's degree,None,None
Management occupations,11-0000,8861.5,9498,636.6,7.2,22.2,2586.7,93910,,,
Choreographers,27-2032,10.2,12.7,2.5,24.3,28.2,5.4,38120,High school diploma or equivalent,5 years or more,Long-term on-the-job training
Soil and plant scientists,19-1013,16.3,17.6,1.2,7.5,11.7,6.7,58740,Bachelor's degree,None,None
Postal service mail carriers,43-5052,295.1,215.8,-79.2,-26.8,,102.7,56490,High school diploma or equivalent,None,Short-term on-the-job training
Locksmiths and safe repairers,49-9094,22.3,23.9,1.6,7.4,25.4,9.1,37560,High school diploma or equivalent,None,Long-term on-the-job training
Historians,19-3093,3.8,4,0.2,6,7.1,0.8,52480,Master's degree,None,None
Word processors and typists,43-9022,104.4,78.2,-26.2,-25.1,4.1,3.7,35270,High school diploma or equivalent,None,Short-term on-the-job training
Supervisors of production workers,51-1000,594.7,584.2,-10.5,-1.8,3.7,83.7,54040,,,
Packaging and filling machine operators and tenders,51-9111,369.2,371.4,2.3,0.6,0.1,89.3,25860,High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive body and related repairers,49-3021,154.2,174.7,20.4,13.3,10.9,50.1,38380,High school diploma or equivalent,None,Moderate-term on-the-job training
"Other education, training, and library occupations",25-9000,1510.5,1643.5,133,8.8,0.7,435.2,25480,,,
Wind turbine service technicians,49-9081,3.2,4,0.8,24.5,,1.3,45970,"Some college, no degree",None,Long-term on-the-job training
Agricultural inspectors,45-2011,17,16.8,-0.2,-1,0.5,5,42160,Bachelor's degree,None,Moderate-term on-the-job training
Marketing and sales managers,11-2020,539.8,592.5,52.7,9.8,2.6,168.6,110340,,,
"Preschool, primary, secondary, and special education school teachers",25-2000,4115.3,4544.7,429.4,10.4,0.3,1401.2,52240,,,
"Electric motor, power tool, and related repairers",49-2092,20.7,19.9,-0.8,-4.1,4,3.6,36240,Postsecondary non-degree award,None,Long-term on-the-job training
Computer programmers,15-1131,343.7,372.1,28.4,8.3,5.1,118.1,74280,Bachelor's degree,None,None
Reservation and transportation ticket agents and travel clerks,43-4181,139.1,119.6,-19.5,-14,1.8,18.5,32400,High school diploma or equivalent,None,Short-term on-the-job training
Nursing assistants,31-1014,1479.8,1792,312.2,21.1,2.1,593.6,24420,Postsecondary non-degree award,None,None
Brickmasons and blockmasons,47-2021,71,96.2,25.2,35.5,19.7,32.8,46440,High school diploma or equivalent,None,Apprenticeship
Industrial truck and tractor operators,53-7051,508.6,495,-13.6,-2.7,1,116.8,30220,Less than high school,None,Short-term on-the-job training
Fallers,45-4021,6.6,3.8,-2.9,-43.3,19.9,1,35250,High school diploma or equivalent,None,Moderate-term on-the-job training
"Claims adjusters, examiners, and investigators",13-1031,297.6,309.1,11.5,3.9,2.4,80.3,59960,High school diploma or equivalent,None,Long-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,77.9,79.6,1.7,2.2,0.6,25.3,22060,Less than high school,None,Short-term on-the-job training
First-line supervisors of gaming workers,39-1010,49.2,53,3.8,7.6,33.5,13.8,45370,,,
Industrial-organizational psychologists,19-3032,1.6,2.5,0.9,53.4,35.9,1.3,83580,Master's degree,None,Internship/residency
"Rotary drill operators, oil and gas",47-5012,26,30.9,4.8,18.6,0.8,15.4,49220,Less than high school,None,Moderate-term on-the-job training
Airfield operations specialists,53-2022,7.1,7.5,0.4,5.1,,3.5,48080,High school diploma or equivalent,None,Long-term on-the-job training
Media and communication workers,27-3000,726.9,787.1,60.2,8.3,20.2,216.2,50930,,,
Food and beverage serving workers,35-3000,6563.1,7228.7,665.6,10.1,0.2,3480.3,18460,,,
"Captains, mates, and pilots of water vessels",53-5021,35.4,40.2,4.9,13.8,10.8,21.3,66150,Bachelor's degree,None,None
Speech-language pathologists,29-1127,134.1,160.1,26,19.4,8.8,46.2,69870,Master's degree,None,None
"Middle school teachers, except special and career/technical education",25-2022,614.4,690.4,76,12.4,,211.2,53430,Bachelor's degree,None,Internship/residency
Secondary school teachers,25-2030,1041.3,1098.4,57.2,5.5,,340.1,55060,,,
First-line supervisors of law enforcement workers,33-1010,150.4,157.3,6.9,4.6,,53.7,71540,,,
"Woodworking machine setters, operators, and tenders",51-7040,101.7,113.4,11.7,11.5,1.8,26.1,26730,,,
Training and development managers,11-3131,28.6,31.8,3.2,11.2,,10.7,95400,Bachelor's degree,5 years or more,None
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,130.1,143.4,13.3,10.2,,102.3,18950,High school diploma or equivalent,None,Short-term on-the-job training
"Recreation and fitness studies teachers, postsecondary",25-1193,23,25.8,2.8,12.2,,6.3,57920,Doctoral or professional degree,None,None
Semiconductor processors,51-9141,21.3,15.5,-5.8,-27.1,,5,33020,Associate's degree,None,Moderate-term on-the-job training
Sociologists,19-3041,2.6,3,0.4,15,,1.1,74960,Master's degree,None,None
Radiologic technologists,29-2034,199.2,240.8,41.5,20.8,1.1,69.6,54620,Associate's degree,None,None
Supervisors of personal care and service workers,39-1000,300.7,332.5,31.7,10.6,40.3,88,36640,,,
Electrical and electronics engineering technicians,17-3023,146.5,146.5,0,0,0.3,30.4,57850,Associate's degree,None,None
Mechanical door repairers,49-9011,15.8,19.6,3.8,23.8,,9.1,36110,High school diploma or equivalent,None,Moderate-term on-the-job training
Chefs and head cooks,35-1011,115.4,121.5,6,5.2,13.5,24.7,42480,High school diploma or equivalent,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,105.2,110.3,5.1,4.9,4.8,29.1,81830,High school diploma or equivalent,5 years or more,None
Miscellaneous agricultural workers,45-2090,748.1,723.4,-24.7,-3.3,0.7,231.4,18900,,,
"Packers and packagers, hand",53-7064,666.9,707,40.1,6,0.3,215,19910,Less than high school,None,Short-term on-the-job training
"Dredge, excavating, and loading machine operators",53-7030,55.9,64.4,8.5,15.1,11,12.9,38960,,,
"Postsecondary teachers, all other",25-1199,248,280.2,32.2,13,0.1,69.5,64290,Doctoral or professional degree,None,None
Computer and information systems managers,11-3021,332.7,383.6,50.9,15.3,3.1,97.1,120950,Bachelor's degree,5 years or more,None
"Umpires, referees, and other sports officials",27-2023,17.5,18.8,1.3,7.7,8.6,6.5,23290,High school diploma or equivalent,None,Moderate-term on-the-job training
Public relations and fundraising managers,11-2031,62.1,70.1,8,12.9,1.6,21.3,95450,Bachelor's degree,5 years or more,None
Community health workers,21-1094,40.5,50.7,10.2,25.1,,20.8,34620,High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,231.6,263.4,31.8,13.7,,141.5,20340,High school diploma or equivalent,None,Short-term on-the-job training
Biological technicians,19-4021,80.2,88.3,8,10,,32.1,39750,Bachelor's degree,None,None
Farm and home management advisors,25-9021,13.7,15,1.3,9.7,2.4,2.5,46760,Master's degree,None,None
"Painting, coating, and decorating workers",51-9123,17,17,0,0.2,3.8,3.1,27790,Less than high school,None,Moderate-term on-the-job training
Commercial pilots,53-2012,37.6,41.2,3.6,9.4,4,14.4,73280,High school diploma or equivalent,None,Moderate-term on-the-job training
Actuaries,15-2011,24.3,30.6,6.3,26.1,,13.2,93680,Bachelor's degree,None,Long-term on-the-job training
First-line supervisors of food preparation and serving workers,35-1012,848.5,957.8,109.4,12.9,2.3,348.7,29270,High school diploma or equivalent,Less than 5 years,None
Maids and housekeeping cleaners,37-2012,1434.6,1618,183.4,12.8,12.4,467.7,19570,Less than high school,None,Short-term on-the-job training
Travel agents,41-3041,73.3,64.4,-8.9,-12.1,12,11.1,34600,High school diploma or equivalent,None,Moderate-term on-the-job training
Construction and building inspectors,47-4011,102.3,114.8,12.5,12.2,10.6,36.7,53450,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Miscellaneous protective service workers,33-9090,334.9,361.4,26.5,7.9,,194.5,23970,,,
Hydrologists,19-2043,7.4,8.1,0.8,10.4,1.9,2.9,75530,Master's degree,None,None
Supervisors of protective service workers,33-1000,281.9,298.3,16.4,5.8,2.1,105.4,63850,,,
Secretaries and administrative assistants,43-6000,3947.1,4426.6,479.5,12.1,0.9,972.1,35330,,,
Rehabilitation counselors,21-1015,117.5,140.9,23.4,19.9,7.2,48.4,33880,Master's degree,None,None
Psychiatrists,29-1066,27.2,31.6,4.4,16.2,7.6,11.2,173330,Doctoral or professional degree,None,Internship/residency
Cashiers,41-2010,3361.1,3447.7,86.5,2.6,0.8,1539.6,18990,,,
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,61.5,67.7,6.3,10.2,0.8,9.6,27030,High school diploma or equivalent,None,Short-term on-the-job training
Human resources managers,11-3121,102.7,116.3,13.6,13.2,1,40.6,99720,Bachelor's degree,5 years or more,None
Mechanical drafters,17-3013,66.7,63.4,-3.3,-4.9,3.2,8.9,50360,Associate's degree,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,611.2,688.7,77.6,12.7,41.6,220.6,22700,Postsecondary non-degree award,None,None
"Forest, conservation, and logging workers",45-4000,54.4,51.1,-3.4,-6.2,16.7,9.6,32380,,,
Broadcast and sound engineering technicians and radio operators,27-4010,122.8,133.4,10.6,8.6,12.5,32.8,41210,,,
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,12.4,14.3,1.9,15.8,,3.8,67360,Doctoral or professional degree,None,None
"Logging workers, all other",45-4029,3.7,3.3,-0.5,-12.1,19.8,0.6,34260,High school diploma or equivalent,None,Moderate-term on-the-job training
Electrical engineers,17-2071,166.1,174,7.9,4.7,2.1,44.1,87920,Bachelor's degree,None,None
Natural sciences managers,11-9121,51.6,54.5,2.9,5.7,1.1,13.7,115730,Bachelor's degree,5 years or more,None
"Agricultural sciences teachers, postsecondary",25-1041,12.8,13.9,1,8,,3,80490,Doctoral or professional degree,None,None
"Human resources assistants, except payroll and timekeeping",43-4161,146.9,145.3,-1.6,-1.1,0.4,37.1,37510,High school diploma or equivalent,None,Short-term on-the-job training
Hazardous materials removal workers,47-4041,37.5,42.9,5.3,14.2,,13.4,37590,High school diploma or equivalent,None,Moderate-term on-the-job training
"Cutters and trimmers, hand",51-9031,14.2,12.1,-2.2,-15.3,3,2.4,24530,Less than high school,None,Short-term on-the-job training
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,13.2,14.7,1.5,11.4,,3.5,82180,Doctoral or professional degree,None,None
Radio operators,27-4013,1.4,1.4,0,1.2,6.4,0.3,42080,High school diploma or equivalent,None,Short-term on-the-job training
Dentists,29-1020,146.8,170.2,23.3,15.9,24.6,59.1,149310,,,
"Environmental science and protection technicians, including health",19-4091,32.8,38.9,6.2,18.8,2.2,19,41240,Associate's degree,None,None
Other healthcare practitioners and technical occupations,29-9000,152.2,172.2,20.1,13.2,2.1,61.5,54130,,,
Building cleaning workers,37-2010,3773.1,4238.6,465.6,12.3,6.9,1189.9,21440,,,
"Coil winders, tapers, and finishers",51-2021,14.4,12.9,-1.5,-10.5,,1.7,30840,High school diploma or equivalent,None,Short-term on-the-job training
"Education administrators, elementary and secondary school",11-9032,231.5,244.7,13.1,5.7,1.7,74.7,87760,Master's degree,5 years or more,None
Political scientists,19-3094,6.6,8,1.4,21.3,6.5,2.5,102000,Master's degree,None,None
Legal support workers,23-2000,423.4,479.7,56.3,13.3,7,125.1,46850,,,
Audio and video equipment technicians,27-4011,67.7,76.9,9.3,13.7,12,21.5,41850,Postsecondary non-degree award,None,Short-term on-the-job training
Real estate brokers and sales agents,41-9020,422,468.6,46.6,11,51.6,86.3,41990,,,
Chemical equipment operators and tenders,51-9011,56.4,51.7,-4.7,-8.3,0.2,19.7,47100,High school diploma or equivalent,None,Moderate-term on-the-job training
Security guards,33-9032,1074.3,1203.9,129.6,12.1,0.5,294.2,23970,High school diploma or equivalent,None,Short-term on-the-job training
Plasterers and stucco masons,47-2161,22.8,26.2,3.4,15,6.6,4.5,37130,Less than high school,None,Long-term on-the-job training
Floral designers,27-1023,62.4,57.3,-5,-8,26,16.5,23810,High school diploma or equivalent,None,Moderate-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,204.5,225.8,21.3,10.4,0.5,59.9,29910,High school diploma or equivalent,None,Short-term on-the-job training
Respiratory therapy technicians,29-2054,13.6,15.9,2.3,16.9,,3.6,46760,Associate's degree,None,Moderate-term on-the-job training
"Brickmasons, blockmasons, and stonemasons",47-2020,85.1,114.4,29.3,34.5,19.7,38.4,44950,,,
Designers,27-1020,558.5,590.5,31.9,5.7,25,185.4,39050,,,
Real estate brokers,41-9021,79.6,88.3,8.6,10.8,52,16.1,58350,High school diploma or equivalent,Less than 5 years,None
Surveying and mapping technicians,17-3031,54,61.3,7.3,13.5,11.2,17,39670,High school diploma or equivalent,None,Moderate-term on-the-job training
"Managers, all other",11-9199,898.2,950.8,52.6,5.9,59.3,249.1,100890,High school diploma or equivalent,Less than 5 years,None
"Television, video, and motion picture camera operators and editors",27-4030,49.5,50.9,1.4,2.8,22.9,5.2,46280,,,
Material moving workers,53-7000,4157.8,4508.5,350.7,8.4,1.8,1531.7,24230,,,
"Geoscientists, except hydrologists and geographers",19-2042,38.2,44.2,6,15.8,3.3,17.3,90890,Bachelor's degree,None,None
Parts salespersons,41-2022,221.3,236.8,15.5,7,0.5,71.6,29550,Less than high school,None,Moderate-term on-the-job training
Light truck or delivery services drivers,53-3033,841.6,873.6,32,3.8,7.2,166.6,29390,High school diploma or equivalent,None,Short-term on-the-job training
Other sales and related workers,41-9000,1049.3,1138.4,89.2,8.5,30.2,265.6,28600,,,
Other construction and related workers,47-4000,412.5,464,51.5,12.5,5.6,130.7,39620,,,
Market research analysts and marketing specialists,13-1161,415.7,547.2,131.5,31.6,2.9,188.5,60300,Bachelor's degree,None,None
General and operations managers,11-1021,1972.7,2216.8,244.1,12.4,1,613.1,95440,Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,432.7,450.9,18.1,4.2,5.5,105,56880,,,
Telemarketers,41-9041,250.1,269.3,19.2,7.7,0.9,70.9,22330,Less than high school,None,Short-term on-the-job training
Coaches and scouts,27-2022,243.9,280.1,36.2,14.8,10.8,108.5,28360,Bachelor's degree,None,None
Laundry and dry-cleaning workers,51-6011,210.7,231.2,20.5,9.7,4.9,82.9,19930,Less than high school,None,Short-term on-the-job training
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,16,15.9,-0.1,-0.6,1.5,3.8,26210,Less than high school,None,Moderate-term on-the-job training
Operations specialties managers,11-3000,1647.5,1799.7,152.1,9.2,3.3,459.1,100720,,,
Pharmacy aides,31-9095,42.9,47.6,4.8,11.1,,12.9,21860,High school diploma or equivalent,None,Short-term on-the-job training
"Healthcare support workers, all other",31-9099,107.4,124.6,17.2,16,0.9,37.7,32800,High school diploma or equivalent,None,None
Graphic designers,27-1024,259.5,276.9,17.4,6.7,24.4,86,44150,Bachelor's degree,None,None
Broadcast technicians,27-4012,36.7,37.9,1.2,3.2,13.1,7.8,37880,Associate's degree,None,Short-term on-the-job training
"Purchasing agents, except wholesale, retail, and farm products",13-1023,294,302.4,8.4,2.9,1.8,61.6,58760,High school diploma or equivalent,None,Long-term on-the-job training
Riggers,49-9096,15.2,18.7,3.5,23.3,1.3,7.2,42660,High school diploma or equivalent,None,Short-term on-the-job training
"Entertainers and performers, sports and related workers",27-2000,766.9,830,63,8.2,20.9,283.6,38530,,,
Miscellaneous entertainment attendants and related workers,39-3090,303.9,337.7,33.8,11.1,0.7,186.1,18840,,,
Shoe and leather workers,51-6040,12.1,9.7,-2.4,-20.1,24,2,24050,,,
Economists,19-3011,16.9,19.2,2.3,13.9,1.8,7.4,91860,Master's degree,None,None
Etchers and engravers,51-9194,9.7,9.3,-0.4,-3.8,10.9,2.3,28390,High school diploma or equivalent,None,Moderate-term on-the-job training
Computer hardware engineers,17-2061,83.3,89.4,6.2,7.4,3,24.1,100920,Bachelor's degree,None,None
Occupational health and safety technicians,29-9012,12.6,13.9,1.4,10.9,2.2,4.8,47440,High school diploma or equivalent,None,Moderate-term on-the-job training
"First-line supervisors of farming, fishing, and forestry workers",45-1011,45.9,44.8,-1.1,-2.5,18,9.7,43660,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of mechanics, installers, and repairers",49-1011,436.4,470.3,33.9,7.8,0.9,152,60250,High school diploma or equivalent,Less than 5 years,None
"Office and administrative support workers, all other",43-9199,260.3,275,14.8,5.7,6.7,87.8,31060,High school diploma or equivalent,None,Short-term on-the-job training
"Credit authorizers, checkers, and clerks",43-4041,52.2,50.5,-1.7,-3.2,0.4,6.1,33600,High school diploma or equivalent,None,Short-term on-the-job training
"Computer science teachers, postsecondary",25-1021,41.7,47,5.3,12.7,,11.6,72200,Doctoral or professional degree,None,None
Medical scientists,19-1040,108.3,122.5,14.2,13.1,0.8,37.1,76080,,,
Court reporters,23-2091,21.2,23.2,2,9.6,9.6,5.5,48160,Postsecondary non-degree award,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,250.8,272.5,21.6,8.6,5.1,75.1,42320,High school diploma or equivalent,None,Long-term on-the-job training
"Pressers, textile, garment, and related materials",51-6021,54.3,55.7,1.4,2.6,1.9,6.9,19670,Less than high school,None,Short-term on-the-job training
Helpers--roofers,47-3016,12,14,2.1,17.3,0.5,3.9,23300,Less than high school,None,Short-term on-the-job training
"Refractory materials repairers, except brickmasons",49-9045,2.1,2.1,0,0.4,3.5,0.6,41370,High school diploma or equivalent,None,Moderate-term on-the-job training
"Assemblers and fabricators, all other",51-2099,277.7,303.7,26,9.4,1.6,69.9,25920,High school diploma or equivalent,None,Moderate-term on-the-job training
Museum technicians and conservators,25-4013,11.3,12.1,0.8,7.1,3,3.3,38220,Bachelor's degree,None,None
"Patternmakers, metal and plastic",51-4062,4.4,4.7,0.3,6,6.3,1.1,42440,High school diploma or equivalent,None,Moderate-term on-the-job training
Security guards and gaming surveillance officers,33-9030,1083.6,1213.8,130.2,12,0.5,296.3,24020,,,
Chief executives,11-1011,330.5,347.9,17.4,5.3,17.7,87.8,168140,Bachelor's degree,5 years or more,None
Recreation workers,39-9032,345.4,394.4,49,14.2,5.8,89.7,22240,Bachelor's degree,None,None
Helpers--production workers,51-9198,419.9,449.6,29.8,7.1,0.2,102.2,22810,Less than high school,None,Short-term on-the-job training
Obstetricians and gynecologists,29-1064,23.6,27,3.4,14.4,10.4,9.3,187200,Doctoral or professional degree,None,Internship/residency
Dancers and choreographers,27-2030,25.8,29.2,3.4,13.2,28.6,10.8,33010,,,
Veterinary technologists and technicians,29-2056,84.8,109.8,25,29.5,0.1,33.4,30290,Associate's degree,None,None
Fabric and apparel patternmakers,51-6092,6.5,4.9,-1.6,-25,,1,38650,High school diploma or equivalent,None,Moderate-term on-the-job training
Psychiatric technicians,29-2053,71,73.8,2.8,3.9,,9.8,30050,Postsecondary non-degree award,None,Short-term on-the-job training
Police officers,33-3050,658.1,697.1,39,5.9,,245.3,55260,,,
Fast food and counter workers,35-3020,3408.5,3828.1,419.7,12.3,0.1,1823.5,18300,,,
Camera and photographic equipment repairers,49-9061,3.1,3.2,0.1,3.3,14.4,1,37980,Associate's degree,None,Long-term on-the-job training
"Office machine operators, except computer",43-9071,68.8,61.8,-7,-10.2,,16.4,27950,High school diploma or equivalent,None,Short-term on-the-job training
Personal care and service occupations,39-0000,5375.6,6498.5,1122.9,20.9,19.3,2289.4,20840,,,
Animal trainers,39-2011,41.6,47.7,6.1,14.8,62.5,24.5,25270,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing",41-4000,1863,2032.3,169.3,9.1,3.2,532.4,57870,,,
Barbers,39-5011,52.1,57.9,5.8,11.1,75.7,19.3,25090,Postsecondary non-degree award,None,None
Cartographers and photogrammetrists,17-1021,12.1,14.5,2.4,19.6,2,4.9,57440,Bachelor's degree,None,None
"Lawyers, judges, and related workers",23-1000,823.6,900.2,76.6,9.3,20.4,208.8,110740,,,
Law enforcement workers,33-3000,1259.2,1323.6,64.4,5.1,0,425.5,49770,,,
Insurance underwriters,13-2053,106.3,99.8,-6.5,-6.1,1.8,28.9,62870,Bachelor's degree,None,Moderate-term on-the-job training
Refuse and recyclable material collectors,53-7081,133.2,154.9,21.6,16.2,10.2,49.3,32930,Less than high school,None,Short-term on-the-job training
Training and development specialists,13-1151,228.8,264.2,35.4,15.5,0.9,77.2,55930,Bachelor's degree,Less than 5 years,None
Miscellaneous health technologists and technicians,29-2090,104.2,132.7,28.5,27.4,4.8,38.8,41950,,,
Athletes and sports competitors,27-2021,14.9,15.9,1,6.7,16,5.4,40060,High school diploma or equivalent,None,Long-term on-the-job training
Architectural and engineering managers,11-9041,193.8,206.9,13.1,6.7,1.7,60.6,124870,Bachelor's degree,5 years or more,None
Elementary and middle school teachers,25-2020,1993.8,2238.6,244.8,12.3,,683.5,53420,,,
Podiatrists,29-1081,10.7,13.1,2.4,22.5,13.5,4.6,116440,Doctoral or professional degree,None,Internship/residency
Medical appliance technicians,51-9082,12.9,13.8,0.8,6.4,4.3,5.2,36100,High school diploma or equivalent,None,Long-term on-the-job training
"Computer numerically controlled machine tool programmers, metal and plastic",51-4012,24.3,31,6.7,27.6,,13.5,45920,High school diploma or equivalent,None,Long-term on-the-job training
"Counselors, social workers, and other community and social service specialists",21-1000,1940.9,2309.4,368.5,19,2.3,814.2,40400,,,
Miscellaneous metal workers and plastic workers,51-4190,108.5,105.5,-3,-2.8,5.6,19.5,32700,,,
Manufactured building and mobile home installers,49-9095,5.3,4.5,-0.8,-15.1,38,1.3,28080,High school diploma or equivalent,None,Moderate-term on-the-job training
Environmental engineers,17-2081,53.2,61.4,8.1,15.3,1.9,21.1,80890,Bachelor's degree,None,None
Mental health and substance abuse social workers,21-1023,114.2,140.2,26,22.8,1.3,50.2,39980,Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,366.8,401.8,35,9.5,0.8,162,41130,,,
Pharmacy technicians,29-2052,355.3,426.1,70.7,19.9,0.1,105.9,29320,High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,11.1,12.2,1.1,10.2,0.5,2.9,24290,Less than high school,None,Short-term on-the-job training
Control and valve installers and repairers,49-9010,56.8,60.4,3.6,6.3,,22.9,45550,,,
First-line supervisors of non-retail sales workers,41-1012,394.4,391.2,-3.2,-0.8,37.4,50.3,70060,High school diploma or equivalent,Less than 5 years,None
"Sales representatives, services, all other",41-3099,701.9,812.2,110.3,15.7,3.1,302,50850,High school diploma or equivalent,None,Short-term on-the-job training
Tour and travel guides,39-7000,47.1,50.8,3.6,7.7,17.7,26.3,24430,,,
Mechanical engineers,17-2141,258.1,269.7,11.6,4.5,0.6,99.7,80580,Bachelor's degree,None,None
Fence erectors,47-4031,24.9,32.4,7.5,30,15.4,13.3,30190,High school diploma or equivalent,None,Moderate-term on-the-job training
